MODEL,PRED_DOCKQ
model_3_multimer_20220423_751456_tidy,0.33063266
model_1_multimer_20220423_574203_tidy,0.32984462
model_3_multimer_20220423_727554_tidy,0.32892904
model_4_multimer_20220423_727554_tidy,0.32867497
model_2_multimer_20220423_727554_tidy,0.32768521
model_1_multimer_20220423_751456_tidy,0.32750878
model_5_multimer_20220423_727554_tidy,0.32747698
ranked_3_tidy,0.32728046
model_5_multimer_20220423_555805_tidy,0.32728046
model_1_multimer_20220423_569004_tidy,0.32690832
model_1_multimer_20220423_727554_tidy,0.32673767
model_4_multimer_20220423_569004_tidy,0.32671487
model_4_multimer_20220423_555805_tidy,0.32657424
ranked_4_tidy,0.32657424
model_3_multimer_20220423_569004_tidy,0.32642704
ranked_1_tidy,0.32636014
model_2_multimer_20220423_555805_tidy,0.32636014
model_4_multimer_20220423_574203_tidy,0.32619074
model_2_multimer_20220423_751456_tidy,0.32615682
model_5_multimer_20220423_574203_tidy,0.32603225
model_4_multimer_20220423_751456_tidy,0.32582796
ranked_0_tidy,0.3257677
model_1_multimer_20220423_555805_tidy,0.3257677
model_3_multimer_20220423_555805_tidy,0.32558283
ranked_2_tidy,0.32558283
model_3_multimer_20220423_574203_tidy,0.32555288
model_2_multimer_20220423_569004_tidy,0.32554349
model_2_multimer_20220423_574203_tidy,0.32539508
model_5_multimer_20220423_751456_tidy,0.32526255
model_5_multimer_20220423_569004_tidy,0.32397047
