MODEL,PRED_DOCKQ
model_2_multimer_20220423_965401_tidy,0.35723263
model_2_multimer_20220423_406500_tidy,0.35643452
model_1_multimer_20220423_103678_tidy,0.35620621
model_3_multimer_20220423_377030_tidy,0.35601434
ranked_0_tidy,0.3558203
model_1_multimer_20220423_693642_tidy,0.3558203
model_5_multimer_20220423_377030_tidy,0.35549185
model_5_multimer_20220423_406500_tidy,0.35532084
model_3_multimer_20220423_103678_tidy,0.35524911
model_5_multimer_20220423_965401_tidy,0.35502791
model_1_multimer_20220423_406500_tidy,0.35500681
model_5_multimer_20220423_103678_tidy,0.35500565
model_3_multimer_20220423_965401_tidy,0.35457796
model_2_multimer_20220423_103678_tidy,0.35433748
model_2_multimer_20220423_377030_tidy,0.35432693
ranked_1_tidy,0.35425681
model_5_multimer_20220423_693642_tidy,0.35425681
model_4_multimer_20220423_103678_tidy,0.35319811
model_1_multimer_20220423_965401_tidy,0.35289043
model_4_multimer_20220423_406500_tidy,0.35261643
model_3_multimer_20220423_693642_tidy,0.35221627
ranked_4_tidy,0.35221627
model_4_multimer_20220423_965401_tidy,0.35219532
model_4_multimer_20220423_693642_tidy,0.35157576
ranked_3_tidy,0.35157576
model_4_multimer_20220423_377030_tidy,0.35086656
model_1_multimer_20220423_377030_tidy,0.35047868
model_3_multimer_20220423_406500_tidy,0.35029218
model_2_multimer_20220423_693642_tidy,0.34877959
ranked_2_tidy,0.34877959
